,prediction_duration,Accuracy,Precision,Recall,F1-score
MobileNetArch,1.644331625529698,0.9987109842555935,0.9985501723843273,0.9983835826296897,0.9984648223865152
xceptionArch,6.93210734639849,0.9986189117024216,0.9981224039871017,0.998341738739008,0.9982294740408225
IncepArch,3.246421217918396,0.9991713470214529,0.9989202817182036,0.9991903352485718,0.9990542331014796
EfficientB3Arch,5.168077111244202,0.33431544056716694,0.02387967432622621,0.07142857142857142,0.03579314695792753
DensNetArch,4.295479927744184,0.9997237823404843,0.99981764389606,0.999649340428139,0.9997333669808649
ResNetArch,8.340598855699811,0.9991713470214529,0.9989576954077951,0.9989005955805164,0.9989285390509439
NasNetArch,3.0586863415581838,0.9983426940429058,0.9980668379850597,0.9980738737628335,0.9980666248762692
VGG19Arch,6.628422600882394,0.996409170426296,0.996593141506453,0.9951886959014796,0.995861426472434
