,loss,accuracy,val_loss,val_accuracy
0,1.0526208877563477,0.6132107377052307,0.8406587839126587,0.6920635104179382
1,0.5121066570281982,0.832482099533081,0.41074445843696594,0.8230158686637878
2,0.32194235920906067,0.8781068921089172,0.27254027128219604,0.8801587224006653
3,0.23668286204338074,0.9223697781562805,0.2402050495147705,0.8952381014823914
4,0.1825219690799713,0.9424582719802856,0.20685400068759918,0.9158729910850525
5,0.14306315779685974,0.953353762626648,0.18599626421928406,0.9261904954910278
6,0.10864794999361038,0.9622063040733337,0.179356649518013,0.9301587343215942
7,0.0829780250787735,0.9765066504478455,0.17328214645385742,0.9301587343215942
8,0.07244736701250076,0.9809329509735107,0.1737719029188156,0.932539701461792
9,0.05589050427079201,0.9850187301635742,0.17244724929332733,0.9341269731521606
10,0.04701671376824379,0.9884235858917236,0.1740548014640808,0.9357143044471741
11,0.044966571033000946,0.9921689033508301,0.17443130910396576,0.9373015761375427
12,0.03150731325149536,0.9952332377433777,0.17720149457454681,0.938095211982727
13,0.026597479358315468,0.9921689033508301,0.18369749188423157,0.9357143044471741
14,0.02613680437207222,0.9955736994743347,0.18178583681583405,0.9365079402923584
