,loss,accuracy,val_loss,val_accuracy
0,0.9389869570732117,0.6246874928474426,0.6568896174430847,0.742523729801178
1,0.3766334652900696,0.8743749856948853,0.950055718421936,0.5995623469352722
2,0.2042870670557022,0.934374988079071,0.7006507515907288,0.7213712334632874
3,0.1287907212972641,0.9574999809265137,0.8260120749473572,0.7002187967300415
4,0.08634363114833832,0.9740625023841858,0.8170773386955261,0.7330415844917297
5,0.06024268642067909,0.9821875095367432,0.8316417932510376,0.7359591722488403
6,0.04104718193411827,0.9900000095367432,0.7077575922012329,0.7738876938819885
7,0.03330950811505318,0.9915624856948853,0.71323561668396,0.7921225428581238
8,0.03256474807858467,0.9909374713897705,0.7541502118110657,0.787016749382019
9,0.02380760945379734,0.9940624833106995,0.672810971736908,0.8096280097961426
10,0.017405899241566658,0.9975000023841858,0.741286039352417,0.797957718372345
11,0.015229722484946251,0.9965624809265137,0.5224533677101135,0.8504741191864014
12,0.011443406343460083,0.9990624785423279,0.5646395087242126,0.8380743861198425
13,0.012347131036221981,0.996874988079071,0.4555584788322449,0.8730853199958801
14,0.011762011796236038,0.9984375238418579,0.4400275945663452,0.8796498775482178
