,precision,recall,f1-score,support
carrot,0.8920863309352518,0.915129151291513,0.9034608378870673,271
pepper,0.8961937716262975,0.9087719298245615,0.9024390243902439,285
potato,0.9270833333333334,0.9143835616438356,0.9206896551724139,292
tomato,0.9728682170542635,0.9598470363288719,0.9663137632338787,523
