,precision,recall,f1-score,support
carrot,0.9775784753363229,0.8044280442804428,0.8825910931174089,271
pepper,0.684863523573201,0.968421052631579,0.8023255813953487,285
potato,0.9214285714285714,0.8835616438356164,0.902097902097902,292
tomato,0.9763440860215054,0.8680688336520076,0.9190283400809716,523
