,precision,recall,f1-score,support
carrot,0.9560439560439561,0.9630996309963099,0.9595588235294118,271
pepper,0.9136212624584718,0.9649122807017544,0.9385665529010239,285
potato,0.9475524475524476,0.928082191780822,0.9377162629757785,292
tomato,0.9882583170254403,0.9655831739961759,0.9767891682785299,523
