,prediction_duration,Accuracy,Precision,Recall,F1-score
MobileNetArch,21.281962633132935,0.9299781181619255,0.9237083561737394,0.9246066956310593,0.9236899245573313
ResNet101Arch,21.39869314432144,0.9438366156090445,0.9375733405365129,0.9390040829611935,0.938178158554927
NasNetArch,21.186675906181335,0.8796498905908097,0.8900536640899002,0.8811198935999115,0.8765107291729077
XceptionArch,21.302709460258484,0.9307075127644056,0.9220579132372866,0.9245329197721955,0.9232258201709009
 DenseNet121Arch,21.109573900699615,0.9569657184536834,0.9513689957700789,0.9554193193687656,0.953157701921186
VGG19Arch,21.256817162036896,0.9307075127644056,0.9231391230366024,0.9291284348756176,0.9249078835268011
InceptionV3Arch,21.31822270154953,0.9350838803792852,0.9277810143193156,0.9303279488601743,0.9289011725687543
EfficientB3Arch,21.167290806770325,0.22538293216630198,0.1953406258259736,0.2612993422488619,0.14473413701579485
