,precision,recall,f1-score,support
carrot,0.9191176470588235,0.922509225092251,0.9208103130755065,271
pepper,0.8926174496644296,0.9333333333333333,0.9125214408233278,285
potato,0.9265734265734266,0.9075342465753424,0.916955017301038,292
tomato,0.9728155339805825,0.9579349904397706,0.9653179190751445,523
